Airline,Departure Airport,Arrival Airport,Aircraft Type,Departure Planned Time,Departure Time,Arrival Planned Time,Arrival Time,Distance,Number of Containers,Cargo Weight,Freight Load Factor,Cargo Type,Priority Cargo,Special Handling,Temperature-Controlled Freight,Dangerous Goods,Peak Freight Season,Departure Weather Conditions,Delay
GF,ABZ,XMN,A380,27/01/2024 01:20,27/01/2024 01:21,27/01/2024 06:20,27/01/2024 06:21,5042,7,1741,90.43,Pharmaceuticals,Yes,No,No,No,No,Rain,Yes
QR,BHX,SYD,A320,12/11/2024 15:18,12/11/2024 16:13,12/11/2024 16:18,12/11/2024 17:13,9727,16,3061,69.98,General Cargo,Yes,No,Yes,No,No,Fog,Yes
CX,LGW,BKK,B777,20/06/2024 13:52,20/06/2024 16:37,20/06/2024 18:52,20/06/2024 21:37,4431,9,1494,76.33,General Cargo,Yes,Yes,Yes,No,Yes,Clear,Yes
AA,LHR,LAX,B777,28/10/2024 20:30,28/10/2024 20:30,29/10/2024 01:30,29/10/2024 02:30,8501,19,1792,78.76,Healthcare,Yes,No,Yes,No,Yes,Snow,Yes
BA,ABZ,BKK,B787,09/06/2024 02:17,09/06/2024 03:08,09/06/2024 08:17,09/06/2024 09:08,4378,3,4544,62.04,General Cargo,No,Yes,Yes,No,No,Clear,Yes
UA,BRS,SCL,B787,06/10/2024 17:31,06/10/2024 17:31,06/10/2024 20:31,06/10/2024 21:31,6373,18,1473,83.68,Perishables,Yes,No,Yes,No,No,Clear,Yes
SQ,LGW,SIN,A320,29/09/2024 07:32,29/09/2024 07:32,29/09/2024 09:32,29/09/2024 10:32,9295,10,4831,75.23,Pharmaceuticals,No,No,Yes,No,Yes,Fog,Yes
EY,LGW,IST,A380,20/12/2024 17:24,20/12/2024 17:51,20/12/2024 21:24,20/12/2024 21:51,4695,8,3536,87.1,General Cargo,Yes,Yes,No,Yes,No,Snow,Yes
BA,LHR,BJS,A350,16/11/2024 07:45,16/11/2024 10:01,16/11/2024 14:45,16/11/2024 17:01,1634,17,1038,77.91,Healthcare,Yes,Yes,Yes,No,No,Clear,Yes
GF,ABZ,JNB,A350,01/04/2024 01:01,01/04/2024 01:20,01/04/2024 06:01,01/04/2024 06:20,7653,3,2422,64.52,Pharmaceuticals,No,Yes,No,Yes,No,Clear,Yes
QR,BHX,SYD,B787,29/05/2024 21:48,29/05/2024 22:08,30/05/2024 01:48,30/05/2024 02:08,5114,6,3211,67.12,Perishables,Yes,No,Yes,Yes,No,Clear,Yes
VS,MAN,JFK,B777,10/04/2024 00:07,10/04/2024 00:07,10/04/2024 05:07,10/04/2024 06:07,6067,19,3147,50.55,Electronics,Yes,Yes,Yes,Yes,Yes,Clear,Yes
CX,NCL,CPT,B777,15/12/2024 14:34,15/12/2024 15:47,15/12/2024 16:34,15/12/2024 17:47,7438,17,4683,77.52,Pharmaceuticals,Yes,Yes,Yes,No,No,Snow,Yes
BA,LHR,XMN,B777,06/06/2024 18:16,06/06/2024 18:16,06/06/2024 23:16,07/06/2024 00:16,2909,1,,76.91,Perishables,Yes,Yes,No,No,No,Rain,Yes
TK,LGW,SIN,B787,26/04/2024 22:08,27/04/2024 00:06,27/04/2024 05:08,27/04/2024 07:06,4297,9,1731,67.23,Electronics,No,No,Yes,Yes,Yes,Clear,Yes
UA,NCL,SCL,A320,16/10/2024 21:47,16/10/2024 21:55,17/10/2024 04:47,17/10/2024 04:55,2364,11,1586,50.13,Electronics,No,No,Yes,No,No,Clear,Yes
CX,NCL,IST,A380,09/03/2024 21:28,09/03/2024 21:31,10/03/2024 02:28,10/03/2024 02:31,1985,4,3870,62.17,Perishables,No,No,Yes,No,No,Clear,Yes
CX,LGW,HND,B787,26/03/2024 13:27,26/03/2024 16:17,26/03/2024 18:27,26/03/2024 21:17,7520,15,3841,52.16,Perishables,Yes,Yes,Yes,No,Yes,Clear,Yes
AC,ABZ,YYZ,B777,22/07/2024 15:25,22/07/2024 15:41,22/07/2024 21:25,22/07/2024 21:41,5036,8,4014,74.52,Perishables,Yes,No,Yes,Yes,No,Clear,Yes
QR,MAN,XMN,B787,09/08/2024 04:22,09/08/2024 04:22,09/08/2024 11:22,09/08/2024 12:22,7650,8,1515,59.99,Healthcare,Yes,No,No,No,No,Snow,Yes
AA,LGW,IAH,A350,06/09/2024 18:57,06/09/2024 18:57,07/09/2024 01:57,07/09/2024 02:57,4485,16,1830,57.28,Healthcare,Yes,No,No,Yes,Yes,Rain,Yes
GF,BRS,KIX,B787,14/09/2024 16:27,14/09/2024 16:47,14/09/2024 20:27,14/09/2024 20:47,7497,16,4175,62.51,General Cargo,No,Yes,No,Yes,No,Clear,Yes
EK,ABZ,AUH,A380,02/02/2024 00:50,02/02/2024 01:01,02/02/2024 01:50,02/02/2024 02:01,5626,,1416,73.79,Pharmaceuticals,No,Yes,Yes,Yes,Yes,Snow,Yes
AA,NCL,JFK,A380,16/06/2024 09:42,16/06/2024 09:42,16/06/2024 15:42,16/06/2024 16:42,1647,10,1598,71.96,Pharmaceuticals,Yes,Yes,Yes,Yes,Yes,Clear,Yes
EK,LGW,AUH,A350,09/09/2024 18:49,09/09/2024 19:32,09/09/2024 23:49,10/09/2024 00:32,6761,1,3848,55.67,Perishables,No,No,Yes,No,Yes,Clear,Yes
SQ,NCL,MCT,A320,30/03/2024 01:50,30/03/2024 02:17,30/03/2024 03:50,30/03/2024 04:17,9217,6,3377,61.05,Healthcare,No,Yes,Yes,Yes,Yes,Rain,Yes
AA,ABZ,LAX,A320,15/03/2024 23:35,16/03/2024 00:05,16/03/2024 02:35,16/03/2024 03:05,2126,6,3500,59.31,General Cargo,Yes,Yes,Yes,Yes,Yes,Rain,Yes
CK,BRS,CPT,A320,25/06/2024 02:47,25/06/2024 03:25,25/06/2024 09:47,25/06/2024 10:25,2500,18,4151,86.21,Healthcare,No,No,Yes,Yes,Yes,Fog,Yes
CX,BHX,MCT,B777,08/07/2024 04:11,08/07/2024 04:44,08/07/2024 05:11,08/07/2024 05:44,9120,14,3766,78.83,Electronics,No,Yes,No,No,Yes,Clear,Yes
SQ,LHR,KUL,A320,12/10/2024 16:48,12/10/2024 16:48,12/10/2024 19:48,12/10/2024 20:48,9358,2,1633,70.37,Electronics,No,No,No,Yes,Yes,Clear,Yes
CV,BRS,AKL,B777,25/06/2024 03:11,25/06/2024 03:20,25/06/2024 07:11,25/06/2024 07:20,7947,15,2351,88.24,Electronics,No,Yes,Yes,No,Yes,Clear,Yes
EY,LGW,IST,B787,24/07/2024 19:18,24/07/2024 19:18,24/07/2024 23:18,25/07/2024 00:18,8105,17,4374,86.06,General Cargo,No,No,Yes,Yes,Yes,Clear,Yes
GF,LGW,IST,A350,25/01/2024 19:58,25/01/2024 20:41,26/01/2024 00:58,26/01/2024 01:41,3408,9,4232,58.24,Perishables,Yes,No,Yes,Yes,No,Snow,Yes
SQ,BHX,MEL,A380,29/06/2024 09:57,29/06/2024 09:57,29/06/2024 12:57,29/06/2024 13:57,4341,20,1542,86.49,General Cargo,Yes,No,No,No,No,Clear,Yes
QR,NCL,MCT,A350,02/08/2024 10:10,02/08/2024 10:42,02/08/2024 14:10,02/08/2024 14:42,1357,18,4294,81.85,Healthcare,No,Yes,Yes,Yes,Yes,Clear,Yes
EK,MAN,ICN,B777,09/09/2024 05:06,09/09/2024 05:06,09/09/2024 07:06,09/09/2024 08:06,8327,4,2552,54.47,Healthcare,Yes,Yes,Yes,Yes,No,Clear,Yes
AA,BHX,DFW,A320,09/10/2024 01:04,09/10/2024 01:09,09/10/2024 06:04,09/10/2024 06:09,6783,4,,87.22,Pharmaceuticals,Yes,No,Yes,No,Yes,Clear,Yes
SQ,MAN,TPE,A320,16/11/2024 21:51,16/11/2024 22:08,17/11/2024 01:51,17/11/2024 02:08,3463,20,3486,64.95,General Cargo,Yes,Yes,No,Yes,Yes,Rain,Yes
AC,MAN,YUL,A320,10/03/2024 18:43,10/03/2024 20:57,11/03/2024 01:43,11/03/2024 03:57,5571,7,3311,,Perishables,No,No,Yes,No,No,Rain,Yes
BA,NCL,VCP,A350,05/05/2024 02:44,05/05/2024 03:32,05/05/2024 07:44,05/05/2024 08:32,4696,13,2845,62.05,Electronics,No,No,No,Yes,No,Clear,Yes
LH,MAN,VCP,A380,26/12/2024 06:00,26/12/2024 08:32,26/12/2024 13:00,26/12/2024 15:32,8205,7,4574,72.33,Healthcare,Yes,No,Yes,Yes,Yes,Rain,Yes
GF,BHX,CAI,A320,07/11/2024 00:37,07/11/2024 00:37,07/11/2024 05:37,07/11/2024 06:37,5279,3,4312,83.02,Healthcare,Yes,Yes,No,Yes,Yes,Clear,Yes
TK,LGW,DXB,A350,20/03/2024 21:20,20/03/2024 21:31,21/03/2024 01:20,21/03/2024 01:31,5202,8,3158,58.76,General Cargo,Yes,No,Yes,No,Yes,Clear,Yes
CX,NCL,DEL,A350,16/02/2024 08:48,16/02/2024 10:19,16/02/2024 14:48,16/02/2024 16:19,5495,5,2702,51.54,Perishables,Yes,Yes,Yes,No,Yes,Fog,Yes
AA,ABZ,DFW,A320,15/09/2024 15:22,15/09/2024 17:36,15/09/2024 21:22,15/09/2024 23:36,4488,17,1333,50.11,Electronics,Yes,Yes,No,Yes,No,Clear,Yes
SQ,LHR,ICN,A380,04/06/2024 20:07,04/06/2024 20:11,04/06/2024 22:07,04/06/2024 22:11,7854,1,4487,78.53,Perishables,Yes,Yes,No,No,No,Clear,Yes
QT,LGW,VCP,B787,28/01/2024 04:40,28/01/2024 04:40,28/01/2024 05:40,28/01/2024 06:40,4925,13,3128,50.22,Healthcare,No,Yes,Yes,Yes,Yes,Rain,Yes
AC,LHR,YYZ,B777,30/07/2024 12:27,30/07/2024 13:40,30/07/2024 17:27,30/07/2024 18:40,8490,15,3677,79.85,Electronics,Yes,No,Yes,Yes,Yes,Rain,Yes
AC,LGW,YYZ,B777,22/03/2024 18:04,22/03/2024 18:04,23/03/2024 00:04,23/03/2024 01:04,5016,2,4396,53.27,Perishables,No,Yes,No,No,No,Clear,Yes
LA,ABZ,GIG,A350,29/08/2024 12:04,29/08/2024 13:22,29/08/2024 13:04,29/08/2024 14:22,5446,1,1428,89.14,Pharmaceuticals,No,Yes,No,Yes,No,Clear,Yes
SQ,MAN,DEL,B777,23/09/2024 20:25,23/09/2024 20:42,23/09/2024 23:25,23/09/2024 23:42,8570,17,2600,55.93,General Cargo,No,No,No,Yes,No,Clear,Yes
CK,ABZ,CAI,B777,06/11/2024 05:27,06/11/2024 05:52,06/11/2024 08:27,06/11/2024 08:52,1649,16,4786,63.66,Healthcare,No,Yes,Yes,Yes,Yes,Rain,Yes
EY,MAN,MCT,A320,23/01/2024 04:52,23/01/2024 04:57,23/01/2024 09:52,23/01/2024 09:57,6346,17,2969,81.66,Perishables,Yes,Yes,Yes,No,Yes,Snow,Yes
UA,BHX,LAX,A380,18/03/2024 08:45,18/03/2024 08:45,18/03/2024 09:45,18/03/2024 10:45,3662,16,3825,90.1,Perishables,No,Yes,No,No,No,Snow,Yes
SQ,MAN,CAI,A320,14/10/2024 01:27,14/10/2024 01:35,14/10/2024 07:27,14/10/2024 07:35,8322,9,1235,63.81,Perishables,No,Yes,No,No,Yes,Clear,Yes
SQ,LGW,CAI,A320,27/04/2024 02:58,27/04/2024 03:16,27/04/2024 07:58,27/04/2024 08:16,7537,20,4050,53.06,Electronics,Yes,Yes,No,Yes,Yes,Clear,Yes
UA,ABZ,IAH,A320,09/08/2024 16:47,09/08/2024 17:30,09/08/2024 22:47,09/08/2024 23:30,3112,2,4502,73.92,Healthcare,No,Yes,No,Yes,Yes,Clear,Yes
UA,LGW,ATL,A380,06/03/2024 10:50,06/03/2024 10:50,06/03/2024 16:50,06/03/2024 17:50,8901,1,4982,75.03,General Cargo,Yes,No,Yes,Yes,Yes,Clear,Yes
EY,LHR,KUL,A350,01/11/2024 01:17,01/11/2024 03:08,01/11/2024 05:17,01/11/2024 07:08,5729,17,3141,72.89,Pharmaceuticals,No,No,No,No,No,Clear,Yes
CX,LGW,BNE,B787,05/09/2024 05:32,05/09/2024 05:47,05/09/2024 06:32,05/09/2024 06:47,7226,7,2310,65.48,Electronics,No,No,Yes,No,No,Rain,Yes
CK,NCL,NRT,A350,12/05/2024 03:09,12/05/2024 03:09,12/05/2024 08:09,12/05/2024 09:09,1175,19,2510,77.32,Healthcare,No,Yes,No,Yes,No,Clear,Yes
EK,MAN,NRT,A350,03/02/2024 05:52,03/02/2024 05:54,03/02/2024 08:52,03/02/2024 08:54,1884,9,1575,83.66,Electronics,Yes,No,Yes,No,No,Snow,Yes
UA,MAN,SCL,A350,20/04/2024 22:54,20/04/2024 22:54,21/04/2024 02:54,21/04/2024 03:54,9431,12,3631,64.55,Perishables,No,Yes,No,No,No,Snow,Yes
DL,LGW,ORD,A350,25/12/2024 03:55,25/12/2024 03:58,25/12/2024 05:55,25/12/2024 05:58,3814,10,2932,61.69,Perishables,No,Yes,No,Yes,No,Rain,Yes
AC,ABZ,YUL,B777,01/03/2024 18:18,01/03/2024 18:23,02/03/2024 00:18,02/03/2024 00:23,8465,11,3771,66.48,Pharmaceuticals,Yes,No,No,Yes,Yes,Clear,Yes
QR,LGW,SIN,A320,21/11/2024 00:04,21/11/2024 02:34,21/11/2024 01:04,21/11/2024 03:34,2642,15,1754,54.13,General Cargo,Yes,Yes,No,No,No,Clear,Yes
QR,NCL,CPT,A380,18/03/2024 12:26,18/03/2024 13:12,18/03/2024 19:26,18/03/2024 20:12,9028,17,2674,71.47,Pharmaceuticals,No,Yes,Yes,Yes,No,Clear,Yes
EY,BRS,KIX,A380,25/02/2024 10:47,25/02/2024 12:23,25/02/2024 11:47,25/02/2024 13:23,4757,15,1399,90.74,Perishables,Yes,Yes,No,No,No,Rain,Yes
BA,BRS,SYD,B787,20/12/2024 19:14,20/12/2024 19:56,21/12/2024 02:14,21/12/2024 02:56,8802,18,3917,88.54,Electronics,Yes,Yes,No,Yes,Yes,Snow,Yes
CV,NCL,DXB,A350,18/03/2024 23:01,18/03/2024 23:01,19/03/2024 02:01,19/03/2024 03:01,3363,8,4874,54.88,Perishables,Yes,No,No,No,Yes,Clear,Yes
BA,BRS,ATL,B777,07/01/2024 02:46,07/01/2024 03:00,07/01/2024 09:46,07/01/2024 10:00,8226,19,,84.22,Electronics,No,No,Yes,Yes,No,Snow,Yes
AA,BRS,LAX,A320,10/07/2024 22:36,11/07/2024 00:33,11/07/2024 04:36,11/07/2024 06:33,1863,6,4859,65.46,Pharmaceuticals,Yes,No,Yes,No,No,Clear,Yes
EY,LHR,MEL,A320,05/05/2024 11:24,05/05/2024 11:41,05/05/2024 13:24,05/05/2024 13:41,6537,2,4440,73.56,General Cargo,No,No,Yes,No,Yes,Fog,Yes
TK,NCL,JNB,A350,07/03/2024 08:44,07/03/2024 09:40,07/03/2024 15:44,07/03/2024 16:40,6826,17,1895,81.25,Healthcare,No,No,No,Yes,Yes,Clear,Yes
QR,ABZ,DXB,A320,20/09/2024 07:48,20/09/2024 07:48,20/09/2024 13:48,20/09/2024 14:48,5665,14,2956,52.12,Perishables,No,No,Yes,Yes,No,Clear,Yes
VS,BRS,JFK,A320,28/06/2024 01:58,28/06/2024 04:39,28/06/2024 06:58,28/06/2024 09:39,5482,15,4461,56.93,Pharmaceuticals,Yes,No,No,No,Yes,Clear,Yes
AC,BHX,YUL,A380,29/05/2024 20:05,29/05/2024 20:05,30/05/2024 02:05,30/05/2024 02:05,8375,8,4905,69.48,Electronics,No,Yes,No,No,No,Clear,No
GF,LHR,SYD,A350,15/12/2024 23:54,15/12/2024 23:54,16/12/2024 04:54,16/12/2024 04:54,2417,19,2483,90.02,Pharmaceuticals,No,Yes,Yes,No,Yes,Clear,No
VS,NCL,IAH,A320,05/02/2024 23:30,06/02/2024 01:54,06/02/2024 03:30,06/02/2024 05:54,9907,16,4179,52.11,Perishables,No,No,No,Yes,Yes,Snow,Yes
EK,BRS,CAI,B787,30/11/2024 05:53,30/11/2024 06:43,30/11/2024 11:53,30/11/2024 12:43,8511,18,4936,65.06,Perishables,Yes,No,No,Yes,No,Rain,Yes
CK,BHX,CAI,A320,12/07/2024 14:10,12/07/2024 16:01,12/07/2024 19:10,12/07/2024 21:01,6378,14,,84.34,Perishables,No,Yes,Yes,No,No,Fog,Yes
CX,LGW,MCT,A320,21/11/2024 21:03,21/11/2024 21:43,22/11/2024 01:03,22/11/2024 01:43,9255,,,88.05,Electronics,Yes,No,No,Yes,Yes,Fog,Yes
BA,MAN,TPE,A350,16/02/2024 00:25,16/02/2024 00:39,16/02/2024 07:25,16/02/2024 07:39,5761,2,2828,,General Cargo,Yes,No,Yes,Yes,Yes,Rain,Yes
AC,LHR,YYZ,A320,21/12/2024 12:42,21/12/2024 12:45,21/12/2024 14:42,21/12/2024 14:45,4620,20,4598,80.22,Healthcare,Yes,No,No,Yes,No,Snow,Yes
EK,LGW,AKL,A380,17/09/2024 22:09,17/09/2024 22:31,18/09/2024 02:09,18/09/2024 02:31,1953,10,4515,54.96,Pharmaceuticals,Yes,No,No,Yes,Yes,Rain,Yes
EK,BRS,KUL,B787,16/11/2024 04:08,16/11/2024 04:25,16/11/2024 10:08,16/11/2024 10:25,6318,2,4850,66.31,General Cargo,Yes,Yes,Yes,No,No,Fog,Yes
CK,NCL,DXB,A350,03/04/2024 16:04,03/04/2024 16:38,03/04/2024 17:04,03/04/2024 17:38,2347,4,1135,87.27,Healthcare,No,No,Yes,No,No,Fog,Yes
CK,ABZ,KIX,A350,16/03/2024 02:34,16/03/2024 02:35,16/03/2024 07:34,16/03/2024 07:35,8001,19,3698,70.03,Pharmaceuticals,Yes,Yes,Yes,Yes,No,Clear,Yes
CX,LGW,BNE,B777,23/11/2024 10:40,23/11/2024 10:40,23/11/2024 15:40,23/11/2024 15:40,7149,5,2341,52.77,Pharmaceuticals,Yes,Yes,Yes,No,No,Clear,No
AC,LHR,YYZ,A380,13/06/2024 04:18,13/06/2024 04:32,13/06/2024 09:18,13/06/2024 09:32,7295,5,3474,78.49,General Cargo,No,Yes,Yes,No,Yes,Fog,Yes
EK,ABZ,AKL,A320,11/02/2024 17:39,11/02/2024 17:47,11/02/2024 20:39,11/02/2024 20:47,2449,16,2867,75,Electronics,Yes,No,Yes,Yes,Yes,Snow,Yes
CV,NCL,SHA,B787,04/05/2024 05:32,04/05/2024 05:47,04/05/2024 12:32,04/05/2024 12:47,1501,8,2790,82.45,Healthcare,No,No,Yes,No,No,Clear,Yes
UA,LGW,DEN,A320,04/11/2024 07:39,04/11/2024 07:58,04/11/2024 10:39,04/11/2024 10:58,1404,14,3060,58.11,Healthcare,Yes,Yes,Yes,Yes,Yes,Fog,Yes
EK,BHX,NRT,A350,27/06/2024 07:41,27/06/2024 08:16,27/06/2024 11:41,27/06/2024 12:16,3427,5,2234,77.88,Pharmaceuticals,No,Yes,Yes,Yes,No,Rain,Yes
AA,BHX,DFW,B777,18/08/2024 03:28,18/08/2024 04:21,18/08/2024 04:28,18/08/2024 05:21,1701,7,2681,61.41,Electronics,Yes,Yes,Yes,Yes,Yes,Rain,Yes
DL,LGW,SCL,B777,10/09/2024 03:21,10/09/2024 04:26,10/09/2024 04:21,10/09/2024 05:26,2707,15,1492,57.39,Healthcare,No,No,No,No,No,Rain,Yes
BA,BHX,IST,A350,27/04/2024 05:12,27/04/2024 05:12,27/04/2024 12:12,27/04/2024 12:12,2839,14,4862,90.16,Pharmaceuticals,Yes,Yes,Yes,Yes,No,Clear,No
CX,NCL,ICN,A380,05/06/2024 07:04,05/06/2024 07:28,05/06/2024 10:04,05/06/2024 10:28,1302,11,1815,56.89,Electronics,Yes,Yes,Yes,Yes,No,Clear,Yes
